"when","scenario","total","mission","awareness","comms","kills","breaches","wasted","civilians","causes","correct","wrong","note"
"2026-08-31T21:08:53","s1","-1546.9","-1580","0","33.1","0","6","2","2","pair_neutral=2","99","228","baseline"
"2026-08-31T23:27:42","s1","-999.4","-1034.5","0","35.1","1","5","1","0","ground=1 pair_hostile=1","101","189","test better hostile detection using AimedAtAsset"
"2026-09-01T03:04:16","x1-a","-1093.4","-1127.1","0","33.7","1","3","3","3","pair_friendly=2 pair_hostile=1 pair_neutral=1","153","1457","look at leftover pair_neutral""2026-09-01T05:19:52","x1-a","-785.5","-857.9","35.4","36.9","1","3","0","2","pair_hostile=1","4057","215","look at leftover pair_neutral"
"2026-09-01T05:21:30","s1","-947.2","-1034.6","52.9","34.5","1","5","1","0","ground=1 pair_hostile=1","4242","11","D9 declare local 2:1 (G2)"
"2026-09-01T05:21:32","x1-a","-785.5","-857.9","35.4","36.9","1","3","0","2","pair_hostile=1","4057","215","D9 G2 x1-a"
"2026-09-01T05:21:34","x1-b","-508.7","-582.5","37.2","36.6","1","3","0","0","pair_hostile=1","4565","549","D9 G2 x1-b"
"2026-09-01T05:22:55","s1","-948.2","-1034.6","51.9","34.5","1","5","1","0","ground=1 pair_hostile=1","4146","3","D9 friends-only declare (G2)"
"2026-09-01T05:22:56","x1-a","-782.8","-857.9","38.1","36.9","1","3","0","2","pair_hostile=1","3910","3","D9 G2 x1-a friends-only"
"2026-09-01T05:22:58","x1-b","-498.6","-582.5","47.3","36.6","1","3","0","0","pair_hostile=1","4409","0","D9 G2 x1-b friends-only"
"2026-09-01T05:55:48","x1-a","-785.5","-857.9","35.4","36.9","1","3","0","2","pair_hostile=1","4057","215","rm me"
"2026-09-01T06:11:11","s1","-271.8","-363.4","54.2","37.4","4","2","0","0","pair_hostile=4","3953","3","D11 catchable commit"
"2026-09-01T06:14:07","s1","-285.9","-368.1","47.7","34.5","4","2","0","0","pair_hostile=4","3885","55","D11 neighbor backup + cruise catch"
"2026-09-01T06:15:37","s1","-81.9","-163","46.3","34.8","5","1","0","0","pair_hostile=5","3379","100","D11 owner-alive backup"
"2026-09-01T06:17:05","s1","-72.9","-163.2","53.7","36.7","5","1","0","0","pair_hostile=5","3812","3","D11 heartbeat-first, no claim starve"
"2026-09-01T06:18:37","s1","-72.4","-163.2","54.2","36.6","5","1","0","0","pair_hostile=5","3929","4","D11 no ghost commits"
"2026-09-01T06:19:49","s1","-70.3","-159.4","52.7","36.4","5","1","0","0","pair_hostile=5","3808","6","G3 kEvidenceForCall 0.6"
"2026-09-01T06:20:56","s1","130.9","40.6","54","36.4","6","0","0","0","pair_hostile=6","3693","3","D11 fresh-hostile gate"
